carat,cut,color,clarity,depth,table,x,y,z,price,price_cat
1.17,Fair,I,I1,65.4,62,6.68,6.57,4.33,2935,2400-3200
0.8,Premium,H,VS1,62,60,5.92,5.86,3.65,2935,2400-3200
0.7,Very Good,G,VVS2,61.8,60,5.63,5.69,3.5,2936,2400-3200
0.81,Very Good,H,SI1,60.2,58,6.06,6.1,3.66,2936,2400-3200
0.74,Ideal,F,VS2,60.5,59,5.81,5.86,3.53,2936,2400-3200
0.7,Ideal,D,SI2,62.6,54,5.69,5.72,3.57,2936,2400-3200
0.82,Ideal,E,SI2,62.1,56,6.01,5.98,3.72,2937,2400-3200
0.76,Premium,E,SI1,58.3,62,6.12,5.95,3.52,2937,2400-3200
0.76,Premium,G,VS1,59.6,57,6.01,5.91,3.55,2937,2400-3200
0.95,Premium,G,SI2,58.8,60,6.35,6.31,3.72,2937,2400-3200
0.71,Very Good,H,VVS1,62.7,57,5.66,5.72,3.57,2938,2400-3200
0.71,Very Good,H,VVS1,62.7,59,5.65,5.67,3.55,2938,2400-3200
0.81,Ideal,E,SI2,60.2,57,6.1,6.06,3.66,2938,2400-3200
0.73,Very Good,F,VS2,62.7,58,5.73,5.75,3.6,2939,2400-3200
0.73,Very Good,G,VS1,60.7,57,5.76,5.83,3.52,2939,2400-3200
0.83,Very Good,F,SI2,61.9,56,5.99,6.02,3.72,2939,2400-3200
0.77,Premium,D,SI1,59.5,60,6.01,5.95,3.56,2939,2400-3200
0.8,Ideal,E,SI2,60.8,56,6.02,6.01,3.66,2939,2400-3200
0.73,Ideal,F,VS2,62.7,58,5.72,5.77,3.6,2939,2400-3200
0.72,Ideal,E,SI2,62.4,57,5.71,5.74,3.57,2939,2400-3200
0.75,Ideal,G,VS2,60.6,55,5.93,5.91,3.59,2939,2400-3200
0.8,Premium,E,SI2,59.9,58,6.03,5.96,3.59,2939,2400-3200
0.81,Ideal,I,VS2,61.8,56,6.02,5.99,3.71,2939,2400-3200
0.82,Premium,H,VS2,62.6,59,5.99,5.93,3.73,2939,2400-3200
0.7,Good,F,VVS2,63.1,57,5.59,5.66,3.55,2940,2400-3200
1.24,Very Good,J,I1,61.9,55,6.85,6.92,4.26,2940,2400-3200
0.7,Very Good,F,VVS2,62.6,59,5.6,5.64,3.52,2940,2400-3200
0.7,Ideal,F,VS1,61.2,54,5.92,5.64,3.54,2940,2400-3200
0.75,Fair,E,VS2,56,67,6.18,6.08,3.43,2940,2400-3200
1,Good,H,I1,57.6,61,6.67,6.6,3.82,2940,2400-3200
0.75,Ideal,E,VS2,61.6,57,5.84,5.81,3.59,2940,2400-3200
0.7,Ideal,E,VS2,61.5,56,5.73,5.68,3.51,2940,2400-3200
0.79,Very Good,E,SI2,59.2,59,6.04,6.06,3.58,2941,2400-3200
0.8,Good,F,SI1,63.8,59,5.83,5.87,3.73,2941,2400-3200
0.81,Very Good,F,SI2,62.7,58,5.92,5.95,3.72,2942,2400-3200
0.71,Premium,F,VS1,61.1,58,5.76,5.72,3.51,2942,2400-3200
1.03,Fair,G,SI2,65.7,59,6.3,6.24,4.12,2942,2400-3200
0.7,Ideal,F,VS2,60.8,56,5.78,5.79,3.52,2942,2400-3200
0.76,Premium,D,SI1,61.6,59,5.84,5.82,3.59,2942,2400-3200
1.01,Fair,G,SI2,67.1,59,6.27,6.19,4.18,2942,2400-3200
0.73,Ideal,D,SI1,61.4,56,5.82,5.78,3.56,2943,2400-3200
0.72,Ideal,F,VS2,62,56,5.77,5.75,3.57,2943,2400-3200
0.74,Very Good,H,VVS2,61.3,58,5.8,5.85,3.57,2944,2400-3200
0.79,Ideal,G,SI1,61.6,55,5.96,5.98,3.68,2944,2400-3200
0.57,Very Good,D,VVS1,60.4,57,5.39,5.44,3.27,2945,2400-3200
0.79,Very Good,H,VS2,61.5,55,5.89,5.94,3.64,2945,2400-3200
0.78,Very Good,D,SI1,62.4,58,5.86,5.9,3.67,2945,2400-3200
0.85,Good,G,SI1,64.9,56,5.95,5.98,3.87,2945,2400-3200
0.71,Very Good,E,VS1,63.3,59,5.64,5.67,3.58,2946,2400-3200
0.71,Very Good,E,VS1,62.7,57,5.69,5.73,3.58,2946,2400-3200
0.72,Ideal,H,VVS1,62.2,56,5.72,5.75,3.57,2946,2400-3200
0.72,Ideal,H,VVS1,62.5,57,5.7,5.73,3.57,2946,2400-3200
0.77,Ideal,I,SI1,61.5,56,5.9,5.93,3.64,2946,2400-3200
0.79,Ideal,E,SI1,62.3,55,5.9,5.94,3.69,2946,2400-3200
0.78,Very Good,H,VS1,61.7,56,5.92,5.94,3.66,2947,2400-3200
0.76,Ideal,E,VS1,62.1,57,5.82,5.87,3.63,2947,2400-3200
0.92,Ideal,H,SI2,58.5,57,6.37,6.34,3.72,2947,2400-3200
0.73,Premium,D,VS2,60.9,59,5.82,5.77,3.53,2947,2400-3200
0.7,Ideal,H,VVS1,61.2,57,5.69,5.72,3.49,2947,2400-3200
0.7,Ideal,H,VVS1,60.5,58,5.76,5.81,3.5,2947,2400-3200
0.74,Ideal,I,VS1,62,56,5.79,5.82,3.6,2947,2400-3200
0.74,Ideal,I,VS1,61.1,57,5.83,5.86,3.57,2947,2400-3200
0.73,Ideal,D,SI1,61.2,57,5.79,5.81,3.55,2947,2400-3200
0.82,Good,H,VS2,62.4,54,5.97,6.04,3.75,2947,2400-3200
0.9,Premium,I,SI1,60.9,56,6.26,6.21,3.8,2947,2400-3200
0.73,Ideal,G,VS1,61.7,55,5.8,5.84,3.59,2948,2400-3200
0.7,Ideal,E,SI1,62,56,5.68,5.7,3.53,2948,2400-3200
0.9,Premium,I,SI2,62.5,58,6.15,6.1,3.83,2948,2400-3200
0.9,Fair,I,SI2,66.4,60,5.92,5.86,3.91,2948,2400-3200
0.9,Premium,I,SI2,60.6,60,6.28,6.23,3.79,2948,2400-3200
0.9,Ideal,I,SI2,62,56,6.2,6.16,3.83,2948,2400-3200
1,Fair,E,SI2,65.8,58,6.28,6.16,4.09,2948,2400-3200
0.72,Very Good,E,VS2,63,56,5.66,5.73,3.59,2949,2400-3200
0.76,Ideal,E,SI1,61.7,57,5.84,5.89,3.62,2949,2400-3200
0.77,Ideal,D,SI1,62.6,57,5.81,5.92,3.67,2949,2400-3200
0.72,Ideal,H,VS1,62.3,55,5.72,5.74,3.57,2949,2400-3200
0.99,Fair,J,SI1,58,67,6.57,6.5,3.79,2949,2400-3200
0.81,Very Good,I,VS1,62.7,58,5.9,5.96,3.72,2950,2400-3200
0.71,Ideal,G,VS1,62.4,57,5.68,5.73,3.56,2950,2400-3200
0.71,Premium,D,VS2,62.1,60,5.72,5.68,3.54,2950,2400-3200
0.54,Ideal,F,VVS1,61.6,55,5.27,5.28,3.25,2951,2400-3200
0.72,Very Good,D,VS1,62.7,58,5.65,5.68,3.55,2951,2400-3200
0.81,Ideal,H,SI1,62.3,58,5.95,5.96,3.71,2951,2400-3200
0.73,Ideal,F,SI1,61.6,55,5.77,5.81,3.56,2951,2400-3200
0.72,Ideal,E,SI1,61,56,5.84,5.79,3.55,2951,2400-3200
0.7,Very Good,E,VS2,62.4,58,5.66,5.68,3.54,2952,2400-3200
0.7,Very Good,E,VS2,63.4,59,5.63,5.67,3.58,2952,2400-3200
0.7,Very Good,E,VS2,61.8,59,5.63,5.67,3.49,2952,2400-3200
0.7,Very Good,E,VS1,61.3,60,5.68,5.7,3.49,2952,2400-3200
0.72,Ideal,G,VS2,61.5,55,5.76,5.79,3.55,2952,2400-3200
0.72,Ideal,G,VS2,61.4,55,5.76,5.8,3.55,2952,2400-3200
0.7,Ideal,E,VS2,61.9,58,5.7,5.73,3.54,2952,2400-3200
0.7,Ideal,E,VS2,62.6,57,5.63,5.68,3.54,2952,2400-3200
0.7,Ideal,E,VS2,62.1,55,5.71,5.75,3.56,2952,2400-3200
0.74,Ideal,I,IF,62.1,53.9,5.79,5.81,3.6,2952,2400-3200
0.7,Good,E,VS1,61,61,5.69,5.72,3.48,2952,2400-3200
0.8,Very Good,H,VS2,59.1,59,6.02,6.07,3.57,2953,2400-3200
0.79,Premium,F,VS2,63,59,5.84,5.8,3.66,2953,2400-3200
0.75,Good,F,VS1,64.4,59,5.67,5.72,3.66,2953,2400-3200
0.71,Very Good,E,VS2,59.6,60,5.8,5.85,3.47,2954,2400-3200
0.72,Ideal,D,SI1,61.9,55,5.75,5.78,3.57,2954,2400-3200
0.72,Premium,E,VS2,61.1,59,5.75,5.8,3.53,2954,2400-3200
0.72,Premium,D,SI1,61.4,59,5.71,5.79,3.53,2954,2400-3200
0.75,Ideal,D,SI1,62.3,57,5.8,5.83,3.62,2954,2400-3200
0.82,Very Good,D,SI1,63.1,58,5.97,5.95,3.76,2954,2400-3200
0.76,Ideal,G,VS2,61.7,54,5.88,5.92,3.64,2954,2400-3200
0.89,Premium,I,VS1,62.2,62,6.14,6.02,3.78,2955,2400-3200
0.7,Very Good,F,VS2,62.4,57,5.67,5.71,3.55,2956,2400-3200
0.74,Very Good,H,VS1,61.4,56,5.81,5.84,3.57,2956,2400-3200
0.74,Very Good,H,VS1,62.3,56,5.75,5.78,3.59,2956,2400-3200
0.95,Good,I,SI2,63.8,57,6.13,6.23,3.94,2956,2400-3200
0.91,Very Good,J,SI1,62.8,59,6.14,6.19,3.87,2956,2400-3200
0.7,Ideal,F,VS2,60.8,57,5.75,5.77,3.5,2956,2400-3200
0.71,Good,F,VVS2,58.2,60,5.89,5.94,3.44,2956,2400-3200
0.7,Premium,D,VS1,60.4,58,5.78,5.71,3.47,2956,2400-3200
0.72,Ideal,F,VS2,62.6,56,5.75,5.72,3.59,2956,2400-3200
0.72,Ideal,F,VS2,62.2,56,5.75,5.73,3.57,2956,2400-3200
0.72,Ideal,H,VVS1,62,55,5.74,5.77,3.57,2958,2400-3200
0.79,Ideal,I,VS1,62.2,57,5.89,5.94,3.68,2958,2400-3200
0.72,Good,G,VS1,58,57.8,5.85,5.87,3.4,2958,2400-3200
0.98,Fair,F,SI2,61.6,66,6.46,6.24,3.92,2958,2400-3200
0.56,Very Good,D,VVS1,60.1,58,5.36,5.42,3.24,2959,2400-3200
0.7,Very Good,F,VS1,60.1,58,5.73,5.79,3.46,2959,2400-3200
0.79,Premium,G,VS2,62.3,58,5.92,5.89,3.68,2959,2400-3200
0.82,Ideal,I,SI1,61.8,55,6,6.03,3.72,2959,2400-3200
0.74,Fair,G,VVS2,65.2,58,5.7,5.6,3.69,2959,2400-3200
0.71,Very Good,H,VVS2,61.8,56,5.7,5.73,3.53,2960,2400-3200
0.7,Very Good,D,VS2,63,56,5.61,5.69,3.56,2960,2400-3200
0.7,Good,D,VS2,63.4,57,5.6,5.67,3.57,2960,2400-3200
0.7,Ideal,D,VS2,61.3,57,5.72,5.76,3.52,2960,2400-3200
0.76,Ideal,F,VS2,62.6,56,5.82,5.78,3.63,2960,2400-3200
0.72,Ideal,G,VS2,61.3,56,5.77,5.81,3.55,2960,2400-3200
0.64,Ideal,G,IF,61.7,58,5.52,5.56,3.42,2960,2400-3200
0.71,Good,F,VVS2,58.9,61,5.8,5.9,3.44,2960,2400-3200
0.74,Ideal,G,VS1,61.8,55,5.85,5.8,3.6,2960,2400-3200
0.77,Very Good,H,VS1,62.8,58,5.75,5.78,3.62,2961,2400-3200
0.74,Ideal,H,VVS2,61.2,57,5.79,5.85,3.56,2961,2400-3200
0.72,Premium,E,VS1,61.5,60,5.79,5.75,3.55,2961,2400-3200
0.73,Premium,F,VS1,61.9,56,5.81,5.76,3.58,2961,2400-3200
0.73,Premium,F,VS1,62.7,56,5.75,5.73,3.6,2961,2400-3200
0.63,Ideal,F,VVS2,62.3,56,5.48,5.5,3.42,2961,2400-3200
0.72,Ideal,H,VS1,61.1,57,5.8,5.82,3.55,2961,2400-3200
0.76,Ideal,E,SI1,60.6,57,5.91,5.93,3.59,2961,2400-3200
0.71,Premium,F,VS1,62.1,53,5.77,5.7,3.56,2961,2400-3200
0.75,Premium,H,VS1,61.9,61,5.85,5.82,3.61,2961,2400-3200
0.96,Premium,E,SI2,60.4,56,6.32,6.23,3.79,2961,2400-3200
0.63,Ideal,D,VVS2,62.6,56,5.47,5.49,3.43,2962,2400-3200
0.72,Ideal,E,VS2,62,56,5.73,5.76,3.56,2962,2400-3200
0.71,Ideal,G,VS1,62.2,56,5.69,5.72,3.55,2962,2400-3200
0.82,Premium,F,SI1,62.4,56,6.01,5.98,3.74,2962,2400-3200
0.71,Ideal,E,VS1,62.1,53,5.76,5.73,3.57,2963,2400-3200
0.91,Very Good,E,SI2,58.6,63,6.38,6.32,3.72,2963,2400-3200
0.71,Very Good,E,VS2,62.9,57,5.68,5.7,3.58,2964,2400-3200
0.71,Very Good,E,SI1,62.9,55,5.64,5.68,3.56,2964,2400-3200
0.71,Very Good,D,SI1,59.4,59,5.78,5.81,3.44,2964,2400-3200
0.7,Good,E,VS1,63.6,58,5.61,5.56,3.55,2964,2400-3200
0.7,Fair,E,VS1,64.5,57,5.59,5.55,3.59,2964,2400-3200
0.75,Ideal,E,SI1,61.7,56,5.84,5.86,3.61,2964,2400-3200
0.9,Fair,F,SI2,65.7,59,6.03,5.99,3.95,2964,2400-3200
0.9,Good,F,SI2,64.2,62,6.08,6,3.88,2964,2400-3200
0.9,Fair,J,VS1,65.4,60,6.02,5.93,3.91,2964,2400-3200
0.9,Premium,J,VS1,62.1,62,6.12,6.05,3.78,2964,2400-3200
1,Fair,G,SI1,65.7,54,6.24,6.16,4.07,2964,2400-3200
1.5,Fair,H,I1,65.6,54,7.26,7.09,4.7,2964,2400-3200
1.05,Premium,E,I1,61.4,58,6.53,6.46,3.99,2964,2400-3200
0.9,Fair,J,VS1,64.6,58,6.12,6.06,3.93,2964,2400-3200
0.71,Ideal,I,VS1,61.8,56,5.68,5.72,3.52,2965,2400-3200
0.71,Ideal,I,VS1,61.6,56,5.71,5.75,3.53,2965,2400-3200
0.71,Ideal,I,VS1,61.3,57,5.73,5.76,3.52,2965,2400-3200
0.71,Ideal,I,VS1,61.5,56,5.72,5.76,3.52,2965,2400-3200
0.7,Ideal,G,SI1,61.7,55,5.7,5.73,3.53,2965,2400-3200
0.7,Ideal,G,SI1,60.9,56,5.73,5.79,3.51,2965,2400-3200
0.73,Very Good,G,VS2,62.1,59,5.68,5.73,3.54,2966,2400-3200
0.85,Very Good,E,SI2,63.1,58,6.02,6,3.79,2966,2400-3200
0.7,Ideal,I,VVS1,61.8,56,5.69,5.73,3.53,2966,2400-3200
0.75,Ideal,F,SI1,61.2,55,5.87,5.92,3.61,2966,2400-3200
0.82,Ideal,F,SI2,60.9,57,6.06,6.02,3.68,2966,2400-3200
0.7,Very Good,E,VS1,61.3,56,5.68,5.71,3.49,2967,2400-3200
0.7,Very Good,E,VS1,61.5,56,5.69,5.75,3.52,2967,2400-3200
0.86,Very Good,G,SI2,62.6,56,6.01,6.07,3.78,2967,2400-3200
0.79,Ideal,H,VS2,62,56,5.91,5.93,3.67,2967,2400-3200
0.31,Premium,E,SI2,60.8,61,4.43,4.39,2.68,558,<=800
0.31,Premium,E,SI2,61.2,61,4.37,4.36,2.67,558,<=800
0.31,Ideal,G,SI2,61.4,55,4.39,4.37,2.69,558,<=800
0.3,Very Good,H,VVS2,62,56,4.28,4.3,2.66,559,<=800
0.31,Very Good,G,VS2,62.6,56,4.33,4.37,2.72,559,<=800
0.31,Very Good,G,VS2,61.4,55,4.38,4.41,2.69,559,<=800
0.31,Very Good,G,VS2,60.9,57,4.37,4.39,2.67,559,<=800
0.24,Ideal,G,VVS1,62.4,56,3.97,3.99,2.48,559,<=800
0.24,Ideal,G,VVS1,62.1,56,3.97,4,2.47,559,<=800
0.24,Ideal,G,VVS1,62.2,56,4,4.04,2.5,559,<=800
0.24,Ideal,G,VVS1,62,55,4.01,4.03,2.49,559,<=800
0.24,Ideal,G,VVS1,62,56,3.97,4.01,2.47,559,<=800
0.32,Ideal,E,SI1,61.9,55,4.4,4.43,2.73,559,<=800
0.32,Ideal,E,SI1,61,56,4.41,4.45,2.7,559,<=800
0.24,Ideal,G,IF,61.7,56,3.99,4.01,2.47,559,<=800
0.24,Ideal,G,IF,60.8,58,4.01,4.05,2.44,559,<=800
0.24,Ideal,G,IF,61.8,55,3.99,4.02,2.47,559,<=800
0.24,Ideal,G,IF,61.6,57,3.99,4.02,2.46,559,<=800
0.24,Ideal,G,IF,61.3,57,4,4.03,2.46,559,<=800
0.32,Ideal,G,VS1,62.3,55,4.39,4.41,2.74,559,<=800
0.32,Ideal,G,VS1,61.8,55,4.42,4.45,2.74,559,<=800
0.25,Very Good,E,VVS2,62,56,4.05,4.08,2.52,560,<=800
0.25,Very Good,E,VVS1,61.5,56,4.06,4.08,2.5,560,<=800
0.25,Very Good,F,IF,61.5,56,4.04,4.06,2.48,560,<=800
0.27,Very Good,F,IF,60.4,58,4.18,4.2,2.53,560,<=800
0.32,Ideal,G,VS2,61.6,54,4.4,4.43,2.72,560,<=800
0.36,Ideal,F,SI1,61.6,56,4.57,4.62,2.83,560,<=800
0.41,Ideal,I,SI1,61.7,55,4.77,4.8,2.95,561,<=800
0.32,Premium,H,VS1,60.2,58,4.43,4.47,2.68,561,<=800
0.32,Ideal,H,VS1,61.5,57,4.4,4.42,2.71,561,<=800
0.75,Very Good,E,SI1,60.2,60,5.89,5.93,3.56,2968,2400-3200
0.92,Premium,H,SI1,59.2,60,6.4,6.35,3.76,2968,2400-3200
1.13,Fair,H,I1,64.8,59,6.52,6.42,4.19,2968,2400-3200
0.71,Premium,D,VS2,58.7,61,5.88,5.85,3.44,2968,2400-3200
1.06,Premium,I,SI2,61.5,57,6.57,6.49,4.02,2968,2400-3200
0.9,Ideal,G,SI2,62.4,57,6.16,6.13,3.84,2968,2400-3200
0.8,Ideal,G,VS2,61.2,57,6.02,6.07,3.7,2969,2400-3200
0.52,Premium,E,VVS2,60.1,58,5.23,5.18,3.13,2970,2400-3200
0.72,Very Good,G,VS1,60.6,56,5.84,5.87,3.55,2970,2400-3200
0.7,Good,F,VS1,63.8,58,5.58,5.61,3.57,2970,2400-3200
0.78,Premium,E,VS2,62.6,57,5.91,5.85,3.68,2970,2400-3200
0.78,Ideal,H,VS2,61.6,56,5.94,5.91,3.64,2970,2400-3200
1.04,Good,I,SI2,59.9,64,6.51,6.45,3.88,2970,2400-3200
0.91,Fair,F,SI1,64.9,57,6.13,6.08,3.96,2971,2400-3200
0.81,Very Good,E,SI1,63.8,58,5.85,5.97,3.77,2972,2400-3200
0.76,Ideal,G,VS1,59.4,57,5.99,6.03,3.57,2972,2400-3200
0.7,Ideal,G,VS1,61.7,56,5.64,5.71,3.5,2972,2400-3200
0.9,Very Good,H,SI2,63.1,60,6.14,6.09,3.86,2972,2400-3200
0.81,Premium,H,VS1,62.6,58,5.96,5.9,3.71,2972,2400-3200
0.9,Very Good,J,SI2,63.3,59,6.08,6.12,3.86,2973,2400-3200
0.75,Ideal,G,VS1,62.3,57,5.83,5.86,3.64,2973,2400-3200
0.77,Ideal,D,SI2,60.6,56,5.9,5.95,3.59,2973,2400-3200
0.7,Ideal,E,VS1,60.5,56,5.74,5.79,3.49,2973,2400-3200
0.81,Very Good,E,SI1,59.5,60,6.05,6.09,3.61,2973,2400-3200
0.7,Good,E,VS1,59.8,62,5.74,5.8,3.45,2973,2400-3200
0.82,Ideal,F,SI1,62.6,57,5.96,6.02,3.75,2974,2400-3200
0.57,Ideal,F,IF,61.8,54,5.33,5.35,3.3,2974,2400-3200
0.9,Good,H,SI1,64.2,60,6.05,6.02,3.87,2974,2400-3200
1,Fair,D,SI2,69.3,58,5.96,5.87,4.1,2974,2400-3200
0.71,Ideal,G,VS2,59.5,57,5.81,5.8,3.46,2974,2400-3200
0.7,Very Good,F,VS1,62.1,57,5.69,5.72,3.54,2975,2400-3200
0.7,Premium,F,VVS2,62.2,58,5.72,5.66,3.54,2975,2400-3200
0.82,Very Good,E,SI2,63.3,56,5.99,5.95,3.78,2975,2400-3200
0.8,Ideal,F,SI1,62.8,54,5.9,5.97,3.74,2975,2400-3200
0.83,Premium,G,SI1,61.6,59,6.02,5.99,3.7,2975,2400-3200
0.83,Ideal,H,VS2,61.3,54,6.1,6.06,3.73,2975,2400-3200
0.77,Premium,E,SI1,60.4,58,6,5.88,3.59,2975,2400-3200
0.79,Ideal,F,SI1,62.5,57,5.88,5.92,3.69,2976,2400-3200
0.72,Ideal,E,SI1,61,56,5.82,5.85,3.56,2976,2400-3200
0.91,Ideal,I,SI2,63,54,6.17,6.12,3.86,2976,2400-3200
0.71,Very Good,G,VVS2,60.8,58,5.75,5.77,3.5,2977,2400-3200
0.81,Ideal,F,SI1,61.9,57,5.98,6.01,3.71,2977,2400-3200
0.76,Premium,D,VS2,60.9,58,5.9,5.85,3.58,2977,2400-3200
0.54,Ideal,F,VVS1,61.6,55,5.28,5.27,3.25,2977,2400-3200
0.71,Ideal,G,VVS2,62.5,58,5.7,5.73,3.57,2978,2400-3200
0.7,Ideal,E,VS1,61.3,54,5.77,5.83,3.54,2978,2400-3200
0.8,Ideal,E,SI2,61,55,6,6.03,3.67,2978,2400-3200
0.76,Ideal,E,SI2,62.1,56,5.85,5.88,3.64,2978,2400-3200
0.72,Ideal,H,VVS1,59.9,59,5.76,5.82,3.47,2979,2400-3200
0.7,Ideal,E,VS2,61.7,56,5.74,5.71,3.53,2979,2400-3200
0.86,Premium,F,SI2,61.8,58,6.12,6.15,3.79,2980,2400-3200
0.7,Ideal,E,VS2,61.5,57,5.67,5.78,3.52,2980,2400-3200
0.7,Good,D,SI1,61.3,61,5.63,5.69,3.47,2980,2400-3200
0.64,Good,F,IF,58.6,61,5.69,5.71,3.34,2980,2400-3200
0.7,Ideal,E,VS2,62.2,55,5.67,5.71,3.54,2981,2400-3200
0.91,Premium,I,SI2,60.2,59,6.29,6.24,3.77,2981,2400-3200
0.91,Ideal,I,SI2,61.6,57,6.24,6.23,3.84,2981,2400-3200
0.9,Good,E,SI2,58.7,63,6.2,6.23,3.65,2982,2400-3200
0.71,Ideal,G,VVS1,61.7,57,5.7,5.75,3.53,2982,2400-3200
0.9,Fair,E,SI2,65.8,59,6.03,5.98,3.95,2982,2400-3200
0.71,Ideal,E,VS2,59.5,57,5.86,5.83,3.48,2982,2400-3200
0.71,Very Good,G,VS1,60.8,63,5.76,5.68,3.48,2982,2400-3200
0.71,Premium,E,VS2,62.6,58,5.72,5.68,3.57,2982,2400-3200
0.74,Ideal,E,VS2,62.7,54,5.8,5.77,3.63,2984,2400-3200
0.9,Very Good,J,VS2,63.1,57,6.12,6.06,3.84,2984,2400-3200
1,Premium,G,I1,62.5,62,6.42,6.35,3.99,2984,2400-3200
0.7,Very Good,D,VS2,63.1,56,5.62,5.69,3.57,2985,2400-3200
0.75,Ideal,E,SI1,62.2,57,5.82,5.86,3.63,2985,2400-3200
0.82,Premium,H,VS1,62.3,60,5.97,5.94,3.71,2985,2400-3200
0.77,Very Good,G,VS1,62.8,58,5.78,5.84,3.65,2986,2400-3200
0.8,Ideal,I,VS1,61.9,54.1,5.92,5.98,3.69,2986,2400-3200
0.82,Ideal,I,VS1,61.6,57,6,6.05,3.71,2986,2400-3200
0.84,Ideal,G,SI2,62,56,6.02,6.05,3.74,2986,2400-3200
0.7,Ideal,G,VS1,61.3,59,5.68,5.7,3.49,2987,2400-3200
0.74,Ideal,D,SI1,61.5,56,5.8,5.84,3.58,2987,2400-3200
0.77,Premium,E,SI1,61.7,58,5.86,5.9,3.63,2988,2400-3200
0.6,Very Good,F,IF,60.1,54,5.5,5.58,3.33,2988,2400-3200
1.03,Very Good,G,I1,63.2,58,6.44,6.34,4.04,2988,2400-3200
0.76,Ideal,I,IF,61.6,55,5.92,5.89,3.64,2988,2400-3200
0.72,Ideal,F,VS2,62.1,54,5.76,5.8,3.59,2989,2400-3200
0.83,Premium,D,SI1,61.3,58,6.03,6,3.69,2990,2400-3200
0.76,Very Good,G,VS2,62.1,54,5.88,5.94,3.67,2990,2400-3200
0.72,Very Good,E,VS2,62.9,57,5.68,5.73,3.59,2990,2400-3200
0.57,Good,E,VVS1,59.1,65,5.34,5.43,3.18,2990,2400-3200
0.75,Ideal,G,VS2,60.6,55,5.91,5.93,3.59,2991,2400-3200
0.7,Ideal,D,VS2,60.3,60,5.71,5.76,3.46,2991,2400-3200
0.7,Very Good,E,VS2,62.8,56,5.66,5.68,3.56,2992,2400-3200
0.75,Ideal,H,VVS2,62,55.1,5.83,5.85,3.62,2992,2400-3200
1.06,Fair,J,SI2,61,66,6.54,6.35,3.93,2992,2400-3200
0.69,Very Good,F,VVS2,61.5,60,5.64,5.67,3.48,2993,2400-3200
0.87,Very Good,H,SI2,61,56,6.15,6.19,3.77,2993,2400-3200
0.75,Very Good,E,SI1,63.6,56,5.73,5.75,3.65,2993,2400-3200
0.7,Ideal,G,VVS2,63,55,5.65,5.69,3.57,2993,2400-3200
0.7,Ideal,F,VS1,62.4,55,5.65,5.7,3.54,2993,2400-3200
0.75,Ideal,E,SI1,61.1,57,5.83,5.86,3.57,2993,2400-3200
0.72,Ideal,D,SI1,61.1,59,5.76,5.8,3.53,2993,2400-3200
1.01,Fair,G,SI1,65.1,57,6.27,6.22,4.07,2993,2400-3200
0.71,Very Good,F,VS2,59.6,56,5.84,5.88,3.49,2994,2400-3200
0.71,Very Good,G,VS1,59.3,55,5.88,5.95,3.51,2994,2400-3200
0.81,Very Good,G,VS2,63.1,58,5.88,5.84,3.7,2994,2400-3200
1.24,Premium,J,I1,61.9,55,6.92,6.85,4.26,2994,2400-3200
0.81,Premium,G,VS2,62,58,5.95,5.92,3.68,2994,2400-3200
0.81,Premium,D,SI2,61.7,58,5.97,5.93,3.67,2994,2400-3200
0.73,Ideal,D,SI1,61.4,56,5.78,5.82,3.56,2995,2400-3200
0.7,Ideal,G,VS1,60.9,56,5.76,5.8,3.52,2995,2400-3200
0.91,Fair,F,SI2,65.3,51,6.05,5.98,3.93,2996,2400-3200
0.88,Very Good,I,VS1,63.3,55,6.11,6.06,3.85,2996,2400-3200
0.77,Ideal,D,SI1,61.4,56,5.9,5.93,3.63,2996,2400-3200
0.74,Ideal,I,VS2,61.9,55,5.8,5.83,3.6,2997,2400-3200
0.72,Ideal,H,SI1,61.1,56,5.78,5.8,3.54,2997,2400-3200
0.7,Ideal,D,VS2,62.8,57,5.69,5.75,3.59,2998,2400-3200
0.72,Ideal,H,VS1,61.4,56,5.79,5.81,3.56,2998,2400-3200
0.7,Ideal,F,VS1,61.6,57,5.7,5.73,3.52,2998,2400-3200
1.01,Fair,J,VVS2,66,56,6.29,6.22,4.13,2998,2400-3200
0.85,Fair,G,VS1,57.7,67,6.26,6.19,3.59,2998,2400-3200
0.7,Very Good,D,VS2,59.7,59,5.82,5.78,3.46,2999,2400-3200
0.73,Very Good,G,VS1,62.4,58.1,5.71,5.75,3.58,2999,2400-3200
1.02,Fair,H,I1,61.5,60,6.4,6.34,3.92,2999,2400-3200
0.87,Premium,F,SI2,61.6,58,6.14,6.1,3.77,2999,2400-3200
0.71,Ideal,F,SI1,61.9,56,5.69,5.74,3.54,2999,2400-3200
0.7,Premium,G,VVS2,60.6,60,5.77,5.69,3.47,2999,2400-3200
0.74,Premium,E,VS1,62.7,58,5.83,5.74,3.63,2999,2400-3200
0.74,Premium,E,VS1,60.9,62,5.83,5.8,3.54,2999,2400-3200
0.7,Premium,G,VVS2,60.2,61,5.74,5.66,3.43,2999,2400-3200
0.77,Ideal,E,SI1,62.5,56,5.87,5.91,3.68,3000,2400-3200
0.93,Good,J,VS2,63.6,61,6.16,6.08,3.89,3000,2400-3200
0.9,Premium,I,SI2,60.6,60,6.23,6.28,3.79,3001,2400-3200
0.9,Very Good,I,SI2,62.5,58,6.1,6.15,3.83,3001,2400-3200
